avature.net,44.208.185.136
a2milkkf.avature.net,13.236.132.89
abbgb.avature.net,51.163.163.173
abbottasiapac.avature.net,18.141.64.255
abzenaks.avature.net,209.137.158.135
acn.avature.net,209.137.158.205
advocateaurorahealth.avature.net,74.217.56.219
aesc.avature.net,95.172.66.165
ally.avature.net,209.137.158.139
amazon.avature.net,54.68.9.82
ameren.avature.net,74.217.56.220
americangreetings.avature.net,51.163.163.163
amerilife.avature.net,209.137.158.205
amsbae.avature.net,51.163.163.173
amsmedtronic.avature.net,51.163.163.168
amspsr.avature.net,51.163.163.164
amssanofi.avature.net,51.163.163.169
amswh.avature.net,51.163.163.136
analytics.avature.net,44.215.2.39
andersen.avature.net,74.217.56.173
apple.avature.net,74.217.56.154
appleasia.avature.net,18.141.64.255
applecorp.avature.net,74.217.56.154
appleeu.avature.net,51.163.163.164
arcbest.avature.net,54.151.3.229
arupwhg.avature.net,51.163.163.168
ashfieldhealthcare.avature.net,51.163.163.168
asiainspection.avature.net,18.141.64.255
astellas.avature.net,51.163.163.169
astellasjapan.avature.net,35.75.29.108
auspost.avature.net,13.236.132.89
avabooking.avature.net,172.17.88.170
avanade.avature.net,209.137.158.135
avanadeta.avature.net,209.137.158.226
bac.avature.net,74.217.56.155
bain.avature.net,51.163.163.168
baloise.avature.net,51.163.163.169
baml.avature.net,51.163.163.138
bankerslife.avature.net,54.176.22.91
barclays.avature.net,51.163.163.164
baufest.avature.net,35.81.98.117
bbw.avature.net,209.137.158.205
bcg.avature.net,154.59.120.145
belk.avature.net,74.217.56.219
bellflight.avature.net,74.217.56.219
berenberg.avature.net,51.163.163.168
bloomberg.avature.net,74.217.56.223
blueorigin.avature.net,95.172.66.165
bmcrecruit.avature.net,74.217.56.173
bnc.avature.net,209.137.158.201
boeing.avature.net,209.137.158.205
