Sitemap Scraping Statistics
============================

Total sitemap indexes processed: 89
Total job URLs found: 93577
Unique job URLs: 73271

Breakdown by sitemap index:
---------------------------
https://careers.ibm.com/careers/sitemap_index.xml: 0 URLs
https://mclarencareers.mclaren.com/careers/sitemap_index.xml: 33 URLs
https://jobs.enel.com/careers/sitemap_index.xml: 4 URLs
https://bloomberg.avature.net/careers/sitemap_index.xml: 440 URLs
https://maximus.avature.net/careers/sitemap_index.xml: 0 URLs
https://regis.avature.net/careers/sitemap_index.xml: 152 URLs
https://sandboxashfieldhealthcare.avature.net/careers/sitemap_index.xml: 910 URLs
https://laplanduk.avature.net/careers/sitemap_index.xml: 2 URLs
https://apply.deloitte.com/careers/sitemap_index.xml: 765 URLs
https://uclahealth.avature.net/careers/sitemap_index.xml: 641 URLs
https://xerox.avature.net/careers/sitemap_index.xml: 24 URLs
https://gpshospitality.avature.net/careers/sitemap_index.xml: 1120 URLs
https://jobs.ea.com/careers/sitemap_index.xml: 5401 URLs
https://pepsicoglobalpontoon.avature.net/careers/sitemap_index.xml: 556 URLs
https://amswh.avature.net/careers/sitemap_index.xml: 70 URLs
https://manpowergroupco.avature.net/careers/sitemap_index.xml: 5964 URLs
https://unifi.avature.net/careers/sitemap_index.xml: 627 URLs
https://deloittebe.avature.net/careers/sitemap_index.xml: 3 URLs
https://sandboxsantos.avature.net/careers/sitemap_index.xml: 58 URLs
https://cdcn.avature.net/careers/sitemap_index.xml: 235 URLs
https://recruitment.macquarie.com/careers/sitemap_index.xml: 1012 URLs
https://emea.workmyway.com/careers/sitemap_index.xml: 1476 URLs
https://careers.fonterra.com/careers/sitemap_index.xml: 56 URLs
https://jobs.monadelphous.com.au/careers/sitemap_index.xml: 0 URLs
https://deloittecm.avature.net/careers/sitemap_index.xml: 617 URLs
https://sandboxea.avature.net/careers/sitemap_index.xml: 4620 URLs
https://jobs.aesc-group.com/careers/sitemap_index.xml: 141 URLs
https://plantemoran.avature.net/careers/sitemap_index.xml: 1 URLs
https://careers.tesco.com/careers/sitemap_index.xml: 1105 URLs
https://jobs.auspost.com.au/careers/sitemap_index.xml: 157 URLs
https://careers.mantech.com/careers/sitemap_index.xml: 639 URLs
https://jobsearch.harman.com/careers/sitemap_index.xml: 403 URLs
https://coeint.avature.net/careers/sitemap_index.xml: 6 URLs
https://astellas.avature.net/careers/sitemap_index.xml: 266 URLs
https://onecall.avature.net/careers/sitemap_index.xml: 20 URLs
https://intercaretherapy.avature.net/careers/sitemap_index.xml: 187 URLs
https://fortress.avature.net/careers/sitemap_index.xml: 12 URLs
https://delta.avature.net/careers/sitemap_index.xml: 0 URLs
https://sandboxtesco.avature.net/careers/sitemap_index.xml: 10844 URLs
https://jobs.justice.gov.uk/careers/sitemap_index.xml: 532 URLs
https://astellasjapan.avature.net/careers/sitemap_index.xml: 112 URLs
https://insperity.avature.net/careers/sitemap_index.xml: 81 URLs
https://sandboxsmurfitwestrockta.avature.net/careers/sitemap_index.xml: 0 URLs
https://apply.careers.transcom.com/careers/sitemap_index.xml: 1190 URLs
https://jrg.avature.net/careers/sitemap_index.xml: 129 URLs
https://ally.avature.net/careers/sitemap_index.xml: 67 URLs
